K,seed,L_analytic,best_price_rl,best_random,best_adalead,best_fixed_mix,best_open_loop,best_rand_support,mean_rho,mean_rho_star,cos_T1_min
0,0,20.0,0.7960055529855857,0.6471553223269867,0.7332092350538293,0.7196085085090019,0.8046044441036404,0.8046044441036404,0.7222656088334389,0.774475187671625,1.0
0,1,20.0,0.8300034597751587,0.7206702124821232,0.8050234790538028,0.7248393636867212,0.8292556384151091,0.8313374676494142,0.7247984420153598,0.6541567810186287,0.9999999403953552
0,2,20.0,0.8087396718317604,0.6655839076560942,0.7582268038581707,0.7146977803676385,0.802250458249208,0.8073331580080764,0.6821854691149422,0.6399109084965342,0.9999999403953552
0,3,20.0,0.7993160486921145,0.632169202975614,0.7212518637507098,0.7002930920635698,0.8018577652725138,0.7983824705549406,0.7911249370030458,0.7081299564818905,0.9999998807907104
0,4,20.0,0.7319406038041953,0.5880814240326445,0.6722517020281569,0.6411308133644837,0.7303990417454953,0.7321417713903475,0.6888322193181627,0.7317643785185861,0.9999997615814209
1,0,10.0,0.7169808064454963,0.705255206817669,0.7723544517931686,0.6786211712785195,0.7836913378087736,0.7428521359240832,0.7184197765524857,0.7354226607265432,0.9999999403953552
1,1,10.0,0.7740184021717065,0.6623874083696843,0.731313065345325,0.7234924266747056,0.8107045097368548,0.7934986118906885,0.7731470736647565,0.677024025665304,0.9999998807907104
1,2,10.0,0.8138298251459114,0.702769005321728,0.7846191258010952,0.7360539957633707,0.8092847907772415,0.8225667611146911,0.7297386736408029,0.5803600374890623,0.9999998807907104
1,3,10.0,0.8541672055696001,0.6700914792997538,0.796539772447632,0.7936126481947307,0.8398388989694123,0.8541672055696001,0.7466387544415962,0.7585817187119638,0.9999998807907104
1,4,10.0,0.8174232094147067,0.6988909415996821,0.7996099443082707,0.7133696594206379,0.7504033406121058,0.7704562914329005,0.79585962476114,0.554246332953008,0.9999998211860657
3,0,5.0,0.7249392240471992,0.6832466462835362,0.7865560012544638,0.6898023025581141,0.7078806106372166,0.702434918388321,0.7636992370457071,0.6368831329058348,0.9999998807907104
3,1,5.0,0.6711622160481673,0.6800963964460685,0.7115145376014386,0.6785005294015204,0.7206501981986155,0.7315715819621772,0.7866524394299378,0.5738458403424856,0.9999999403953552
3,2,5.0,0.7098204346884708,0.6898643412413275,0.7678127013978711,0.6780292982652144,0.7453472018501147,0.709643179599519,0.7593732684521185,0.5117983305093392,0.9999998807907104
3,3,5.0,0.7277199439443724,0.7159695835734924,0.8114734606906244,0.6806177907779178,0.7336035336484031,0.6938795607510486,0.8688044616209115,0.49823445019449164,0.9999999403953552
3,4,5.0,0.6989439293915756,0.6672207650659602,0.7383704200246831,0.6722455087721604,0.7041793121327797,0.7481363493988251,0.7683032173788881,0.5260669375150769,0.9999999403953552
5,0,3.3333333333333335,0.7075921525408779,0.6942707605901095,0.7620275591969617,0.7045674718520482,0.7048452211840633,0.7351906340360527,0.7966215406579037,0.49059142991079024,0.9999998807907104
5,1,3.3333333333333335,0.7113708984886931,0.6897919942779064,0.7734972230044475,0.6751764712100183,0.6989724458625256,0.746137375465334,0.7902118514091053,0.47336166337042,0.9999999403953552
5,2,3.3333333333333335,0.6683855834202007,0.6689118508965075,0.7679506861023897,0.6730794767953749,0.672458879518011,0.6737644639987741,0.8133602176699585,0.43034646271392246,0.9999998211860657
5,3,3.3333333333333335,0.6979785818188285,0.6950419424024992,0.8066936808250068,0.6615192194224616,0.6925011487740294,0.781441537656497,0.7951844258499292,0.38267786509376317,0.9999998211860657
5,4,3.3333333333333335,0.6862937089455963,0.654132896911188,0.7901482289976777,0.6770319282951857,0.6602707958503038,0.66892824905888,0.8026273617620615,0.5390323831608075,0.9999997615814209
10,0,1.8181818181818181,0.7210423576815239,0.7426115794147552,0.7767837053288047,0.6763521891059021,0.6610132020028965,0.673277674704665,0.7783778249349601,0.46008769250459153,0.9999998211860657
10,1,1.8181818181818181,0.7264439334262657,0.6856110372902429,0.7067884905483919,0.6796133483698893,0.6776307061470968,0.7264439334262657,0.7918654873056667,0.35681581049040784,0.9999998807907104
10,2,1.8181818181818181,0.7204542516403764,0.7046440612875398,0.7036650704208532,0.7087394869169359,0.7141902323420505,0.6772615892021712,0.8307307487564211,0.48973522074329734,0.9999998807907104
10,3,1.8181818181818181,0.7205886749033259,0.6845768518435732,0.718117843965905,0.6822605881114041,0.6888824410831735,0.7009295756924185,0.8025349673436175,0.25200573014000505,0.9999998807907104
10,4,1.8181818181818181,0.6768984037854748,0.6757573870452702,0.7203038178147197,0.6795112714171883,0.6746626045160189,0.6748641503423517,0.8496069356280069,0.41797338052594435,0.9999999403953552
15,0,1.25,0.666313523484706,0.6964078706087542,0.6964078706087542,0.7060843548921552,0.7014971817462026,0.6678814649955475,0.8147686680855832,0.46916890006065565,0.9999998807907104
15,1,1.25,0.6860288061995092,0.6983304346481743,0.6502306819278474,0.6974425356772131,0.6972527404380349,0.6914564635608259,0.8346347326426075,0.35509278868021604,0.9999997615814209
15,2,1.25,0.6894625703056245,0.6871587505665573,0.6638836853740543,0.6994571219442405,0.6958552413761716,0.6913780803359681,0.8250246124583993,0.5120222572012428,0.9999998211860657
15,3,1.25,0.6946729343476934,0.7275631521732416,0.7275631521732416,0.6881278132297596,0.6881278132297596,0.6946729343476934,0.8200379492241564,0.4290855761942664,0.9999998807907104
15,4,1.25,0.7113372343845898,0.6892053476861644,0.678601548787552,0.6974025043603032,0.7179675692694587,0.6680298766804864,0.8005705895005016,0.5229354575204271,0.9999998807907104
19,0,1.0,0.6730727324631955,0.7023777569784659,0.6709069899287512,0.6512369981814298,0.6804109906307001,0.6925527116461423,0.8126881313592648,0.4348993026664475,0.9999998807907104
19,1,1.0,0.6945295353639638,0.7119433974485381,0.7119433974485381,0.7118674041095261,0.6609166852578349,0.6945295353639638,0.8560372902402691,0.4543778123637166,0.9999998807907104
19,2,1.0,0.6989088792614329,0.6704223526639363,0.6629664462470714,0.7392458778575587,0.6923353254836498,0.6989088792614329,0.7376456553630409,0.39330387354053176,0.9999998807907104
19,3,1.0,0.6862105379723917,0.6732983620216854,0.7029265666897743,0.7158417607688812,0.6935460455721187,0.6777425610164917,0.8224084680909864,0.45839655251830813,0.9999998807907104
19,4,1.0,0.687015733002966,0.6842841771030834,0.6475658323005546,0.681107164416118,0.7113554966063572,0.687015733002966,0.8893953631803033,0.48598472881216115,0.9999999403953552
